Subject,factor1,factor2,factor3,factor4
100206,1.9535646805990996,0.11115422210419561,1.1226695153777322,-0.9020748763573448
100307,0.3251316780129847,-0.5206323122415716,1.5967137125860418,-0.4000973814550088
100408,-0.22049894012793045,0.2648953257453405,0.30146787385844626,3.338130968826898
100610,-0.3230503231062685,2.3312869689180533,0.3693280645661704,-1.337250643600512
101006,-0.08629796996870706,-2.0758850063807577,0.538879045139401,0.8062685404154084
101309,-1.315581834004556,-0.6500136229733358,-0.802021157780556,-1.208341956014659
101915,-1.34050456376658,1.2662774997334516,-1.672859321572608,0.7277891322783777
102109,-0.6556731560443376,0.3563777921486114,-1.6113802351863415,0.5664303739704
102311,-0.04549979182674625,-0.08405949637144167,-3.4167813992520704,-0.7363930686604536
102513,0.14119308124554167,0.2780204816584317,-2.642488207884531,2.066957553429772
102614,-1.1745748292585396,0.30995109920996633,1.370804725947717,-0.22247706748435744
102715,-1.7343083229571656,1.061033807665382,0.33255228227739614,-0.5208821879570823
102816,-0.6015391482119126,-0.776198207426683,0.12418903020294023,0.3478305800479853
103414,-0.5492044992881268,-0.285685390422193,-0.26556015370262587,0.11190948227148623
103818,0.8233142647159941,0.4711100465983896,-1.608803156635141,-1.2250646771862748
104012,-0.3782425063235903,-1.9207287782297622,0.5070961640304212,-0.29791568213033665
104416,-1.6257377800643047,1.3724378563904862,-0.05585933133048693,0.3540326437664344
105014,-0.7307961857044085,1.0992227924166882,-0.18363871454473144,-0.3588083407529396
105115,1.4929448584182867,0.7852500849532708,-0.2797606489763583,-1.0357520110662761
105216,1.591198174862386,1.5758924316240026,2.1843473930027573,-0.542868363037047
105620,0.7921740707705521,1.08958987832614,1.915718898427966,0.25206183784893915
105923,-0.3843433861027613,1.3911596156783208,-2.1741441264174526,-0.24748532375221677
106016,-0.06401543774362242,1.0599280990323108,-0.28744950216400356,-0.765061168050829
106319,1.9283028232906074,1.7566738322339428,-1.2760801442038088,1.8855967625162207
106521,-0.27563196404540247,2.194988171408184,-1.1688277373777964,-0.15560439296498063
106824,-0.12933673770637497,0.6369588528829532,0.8626222818071974,-0.8771110092776984
107018,-0.6365440681441806,-0.16020564136560908,-0.24472712525288723,0.8064612321641628
107321,0.001655632405012921,1.536797335653754,0.6926903766431873,0.6275587701665081
107422,-0.19192148979570536,1.4903405871086681,-0.12253377836912731,-1.159827491011174
108020,-0.17521541019446304,0.28081636540813637,-0.2004130657789709,-0.3683905909256065
108222,0.22606313907660933,1.3619806127804175,1.751529272100953,-0.09816252602554165
108323,0.1724396567320892,-0.5067140301146119,0.3548310795868631,-0.10877723812285227
108525,-1.0078995546256202,-2.312659502427028,-2.2878397463213718,-0.3736859239873644
109325,-0.4916319903929205,-1.0497920913152514,-1.1345116301573863,-0.873109994383263
109830,-0.18926746334571506,0.13042890166321194,-0.8548530789783231,-0.8793216976962456
110007,-1.425822415499749,-0.37686591758360505,0.4931108949172939,-0.2904703128900051
110411,-1.2339674787599118,0.7479259379122289,0.33701228481582507,-0.7686926540092489
110613,-1.7215123615996852,0.07173784057970287,-1.1162095148462003,0.4532379540787597
111009,-0.3354783437346987,2.0444991996538824,-0.46051109263450435,-0.7265012140672237
111211,0.1018313782052894,0.3653900519080153,0.2832661413261077,0.9605902767137635
111312,-0.6110464605161998,-1.218906386254837,0.11104380295242572,0.05487367702378046
111413,0.983412711882217,-0.2604703711716424,0.27719323480554453,-0.5275570006595875
111514,0.326017964844464,0.30091385038066965,1.1362361119669366,0.7655039946176401
111716,-0.16747437699958861,1.0523638219221287,-0.3974563486921554,0.12437232220038336
112112,-1.4816903534925596,0.4100040192848215,-0.11541826021283368,0.38974876549749005
112314,0.8191971159625262,0.5000384181456827,-0.7552764659327352,-0.5707112535561133
112516,-0.5915852819617051,-0.576168139560188,-1.4214032014174531,0.4542643673609071
112920,-0.35653850126644204,0.6004246741499858,-0.0619958570511635,-1.0328048486701202
113215,1.243160316430199,0.5689760385383206,2.199066252879771,0.05226496495703535
113316,-0.3342766892387138,-0.3958810448545107,-1.0500431096215965,1.3094062475893453
113619,-0.6957420673300477,0.7083742230593528,-1.112974739768454,-0.5802228604649867
113922,0.3401161220611336,-0.7802105982847892,-0.058034810661382004,2.6610019429916414
114217,-1.7504044934975556,1.2940469097636338,-0.9967467447160415,-0.162273103756854
114318,0.2825496619947358,-0.5921978948317965,0.4211654307196095,-0.15211294049384827
114419,-0.06312245830415845,-1.2497174180732111,1.89699472201778,-0.1425888574099872
114621,-0.2094989668148639,-0.6879475382558982,0.5249795124323027,-0.021802972658099315
114823,0.42283951602047787,1.882662043294062,0.012204581805855591,0.09153788137619345
115017,-0.48158477732858523,0.061817772825761744,-0.24453769480183687,0.4503679870805545
115320,-0.6188581457741743,-1.4148021193085971,-0.6750646408934153,-0.6539171339323062
115724,0.48614176749087173,-2.1112771410866364,0.7825706527692506,0.23027738317070343
115825,0.41163317886038897,-3.2184623025848715,-0.11730795334590248,-1.0831532110111766
116726,-1.1018416223132341,0.6789523988212056,-0.3612607363010615,0.08738433794577384
117021,0.5258725417373663,1.2761017656894962,0.26390391466496155,-0.5630024605782178
117122,-0.22755724350914427,1.3001710915588416,-0.4799641550726342,-0.7088018554484607
117324,-2.046805667488338,-2.298302249937227,-1.5910741270846565,-0.41714245809590794
117930,-0.4366913966228447,-0.6759792499218461,0.05379041615029716,0.15048962535326704
118023,-0.3505546513280063,0.17264947518569274,0.038563084375017036,4.156025135504987
